datetime, temp, humidity, pressure, pitch, roll, yaw, accel_x, accel_y, accel_z,
17:44:01, 55.72323, 31.47592, 29.5797, 357.34742, 12.97168, 133.46527, 0.04267, 0.21851, 0.93677,
17:44:02, 55.75982, 31.45996, 29.58028, 357.35314, 12.99383, 133.48832, 0.04413, 0.21876, 0.93677,
17:44:02, 55.68663, 31.04498, 29.58035, 357.35425, 12.99537, 133.44979, 0.04194, 0.21851, 0.93482,
17:44:03, 55.68663, 31.38334, 29.58051, 357.31222, 13.00163, 133.43835, 0.04122, 0.21876, 0.93336,
17:44:04, 55.72323, 31.47272, 29.58031, 357.29907, 12.98683, 133.34544, 0.04364, 0.21948, 0.93628,
17:44:05, 55.72323, 31.37057, 29.57984, 357.27395, 12.93955, 133.34614, 0.0417, 0.21851, 0.93506,
17:44:05, 55.61344, 31.67063, 29.5798, 357.29281, 12.94555, 133.29719, 0.04267, 0.2173, 0.93263,
17:44:06, 55.55855, 31.53337, 29.58003, 357.25623, 12.95001, 133.15963, 0.04316, 0.21876, 0.93433,
17:44:07, 55.61344, 29.73941, 29.58056, 357.31591, 12.91549, 133.07859, 0.04243, 0.21876, 0.93506,
17:44:07, 55.63174, 31.34185, 29.58064, 357.32163, 12.92695, 133.03017, 0.0434, 0.21803, 0.93482,
17:44:08, 55.54025, 31.1599, 29.58017, 357.34586, 12.97274, 133.06927, 0.04291, 0.21851, 0.93726,
17:44:09, 55.57685, 30.23099, 29.58037, 357.37329, 12.985, 132.98841, 0.0417, 0.21803, 0.93506,
17:44:10, 55.57685, 33.37522, 29.5806, 357.35545, 12.9698, 133.00172, 0.04316, 0.21803, 0.93482,
17:44:10, 55.63174, 31.00987, 29.5804, 357.35085, 13.00116, 132.99811, 0.04267, 0.21827, 0.93312,
17:44:11, 55.57685, 31.15351, 29.57973, 357.38259, 12.96846, 133.0392, 0.04219, 0.21827, 0.9375,
17:44:12, 55.66834, 31.00029, 29.57996, 357.36037, 12.90619, 133.1429, 0.04122, 0.21851, 0.93677,
17:44:12, 55.59515, 31.00348, 29.58098, 357.33069, 12.9209, 133.18536, 0.0417, 0.219, 0.93531,
17:44:13, 55.65004, 30.92368, 29.5806, 357.39302, 12.95363, 133.18962, 0.04316, 0.21827, 0.93458,
17:44:14, 55.35728, 28.75305, 29.57982, 357.39033, 13.00642, 133.21538, 0.04219, 0.21778, 0.93555,
17:44:15, 55.55855, 30.82792, 29.57972, 357.32401, 13.0189, 133.22927, 0.04291, 0.21778, 0.9358,
17:44:15, 55.59515, 30.86622, 29.58009, 357.34789, 13.01989, 133.22575, 0.04291, 0.21948, 0.9358,
17:44:16, 55.57685, 30.96518, 29.58006, 357.33266, 13.01837, 133.24877, 0.04291, 0.219, 0.93287,
