{snapshot: 14:55:29, data: ['62.42007', '28.43064', '29.6151', '0.13326', '6.14728', '195.36522', '-0.00222', '0.09809', '0.96601']}\n
{snapshot: 14:55:30, data: ['62.47496', '31.13436', '29.61511', '0.1587', '6.1151', '195.40658', '-0.00444', '0.101', '0.95895']}\n
{snapshot: 14:55:31, data: ['62.58475', '31.53657', '29.61539', '0.22509', '6.09363', '195.41375', '-0.00296', '0.10197', '0.94993']}\n
{snapshot: 14:55:32, data: ['62.52985', '31.14713', '29.61575', '0.26321', '6.07895', '195.45141', '-0.00518', '0.10124', '0.95091']}\n
{snapshot: 14:55:32, data: ['62.51156', '30.54701', '29.6153', '0.2726', '6.04832', '195.50891', '-0.00518', '0.10124', '0.94749']}\n
{snapshot: 14:55:33, data: ['62.52985', '30.59489', '29.61542', '0.30043', '6.05101', '195.49175', '-0.0037', '0.09615', '0.95968']}\n
{snapshot: 14:55:34, data: ['62.38347', '30.89495', '29.6155', '0.30763', '6.00418', '195.57604', '-0.00494', '0.09493', '0.95212']}\n
{snapshot: 14:55:34, data: ['62.49326', '30.7545', '29.61494', '0.28234', '5.99773', '195.63053', '-0.00642', '0.09785', '0.95042']}\n
{snapshot: 14:55:35, data: ['62.42007', '30.64597', '29.61493', '0.24987', '6.0525', '195.67349', '-0.00148', '0.09615', '0.96626']}\n
{snapshot: 14:55:36, data: ['62.31028', '30.6332', '29.61573', '0.2631', '5.99643', '195.69364', '-0.00469', '0.10052', '0.95017']}\n
{snapshot: 14:55:37, data: ['62.49326', '30.61405', '29.61576', '0.18992', '5.96878', '195.63256', '-0.00568', '0.09736', '0.9626']}\n
{snapshot: 14:55:38, data: ['62.40177', '30.38421', '29.61591', '0.18035', '5.96152', '195.61651', '-0.00346', '0.09979', '0.95578']}\n
{snapshot: 14:55:38, data: ['62.43837', '30.4289', '29.61594', '0.15881', '6.00487', '195.58799', '-0.00444', '0.10124', '0.95139']}\n
{snapshot: 14:55:39, data: ['62.42007', '30.53744', '29.61612', '0.10498', '6.0007', '195.59919', '-0.0037', '0.09785', '0.95359']}\n
{snapshot: 14:55:40, data: ['62.62134', '33.7487', '29.61555', '0.08611', '6.0272', '195.56552', '-0.00148', '0.09857', '0.96528']}\n
{snapshot: 14:55:40, data: ['62.49326', '30.48636', '29.61524', '0.09737', '5.97569', '195.56397', '-0.00346', '0.09785', '0.96114']}\n
{snapshot: 14:55:41, data: ['62.58475', '29.85113', '29.61527', '0.10196', '5.96044', '195.54105', '-0.00197', '0.09833', '0.96236']}\n
{snapshot: 14:55:42, data: ['62.29199', '32.71126', '29.61584', '0.14991', '5.96185', '195.55839', '-0.00444', '0.10076', '0.95359']}\n
{snapshot: 14:55:43, data: ['62.47496', '30.57574', '29.61571', '0.16488', '5.96775', '195.48873', '-0.0037', '0.09882', '0.95968']}\n
{snapshot: 14:55:43, data: ['62.52985', '30.66193', '29.61615', '0.17458', '5.96136', '195.43133', '-0.00247', '0.10319', '0.96869']}\n
{snapshot: 14:55:44, data: ['62.52985', '31.09286', '29.61651', '0.20788', '5.95792', '195.40454', '-0.00296', '0.0959', '0.96504']}\n
{snapshot: 14:55:45, data: ['62.51156', '30.47998', '29.6162', '0.20614', '5.98081', '195.38788', '-0.00592', '0.0959', '0.96577']}\n
{snapshot: 14:55:45, data: ['62.51156', '30.56297', '29.61616', '0.19651', '5.99616', '195.34202', '-0.00247', '0.09687', '0.96382']}\n
{snapshot: 14:55:46, data: ['62.58475', '26.35578', '29.61493', '0.14818', '5.99222', '195.27204', '-0.00518', '0.09469', '0.96748']}\n
{snapshot: 14:55:47, data: ['62.45667', '30.44167', '29.61463', '0.13822', '6.0113', '195.27637', '-0.00247', '0.10246', '0.96285']}\n
{snapshot: 14:55:48, data: ['62.49326', '30.33633', '29.61572', '0.1433', '6.07428', '195.2219', '-0.00247', '0.09615', '0.96821']}\n
{snapshot: 14:55:48, data: ['62.56645', '30.35868', '29.61523', '0.09186', '6.08278', '195.26401', '-0.00815', '0.09663', '0.96114']}\n
{snapshot: 14:55:49, data: ['62.63964', '28.90946', '29.61441', '0.08056', '6.10729', '195.28351', '-0.0037', '0.0959', '0.95237']}\n
{snapshot: 14:55:50, data: ['62.51156', '29.87986', '29.61436', '0.09991', '6.12785', '195.3219', '-0.00197', '0.10222', '0.96699']}\n
{snapshot: 14:55:50, data: ['62.47496', '32.50058', '29.61401', '0.11926', '6.11469', '195.31414', '-0.00222', '0.10197', '0.96601']}\n
{snapshot: 14:55:51, data: ['62.51156', '30.43529', '29.61472', '0.11389', '5.98805', '195.37833', '-0.0037', '0.10027', '0.9548']}\n
{snapshot: 14:55:52, data: ['62.42007', '30.78642', '29.61487', '0.13241', '6.03777', '195.44413', '-0.00272', '0.10246', '0.94896']}\n
{snapshot: 14:55:53, data: ['62.49326', '30.10331', '29.61403', '0.12623', '5.97616', '195.49305', '-0.00568', '0.09687', '0.95895']}\n
{snapshot: 14:55:53, data: ['62.43837', '30.53744', '29.61408', '0.11491', '5.97984', '195.51925', '-0.00272', '0.09882', '0.957']}\n
{snapshot: 14:55:54, data: ['62.49326', '30.48955', '29.61431', '0.07395', '5.93445', '195.49754', '-0.00592', '0.09785', '0.94944']}\n
{snapshot: 14:55:55, data: ['62.52985', '30.46402', '29.61406', '0.05912', '5.8947', '195.50963', '-0.00617', '0.10246', '0.95188']}\n
{snapshot: 14:55:55, data: ['62.43837', '34.47649', '29.61426', '0.08655', '5.93575', '195.54813', '-0.00469', '0.09493', '0.96382']}\n
{snapshot: 14:55:56, data: ['62.51156', '29.65322', '29.61457', '0.14508', '5.92805', '195.51265', '-0.00568', '0.09615', '0.94993']}\n
{snapshot: 14:55:57, data: ['62.36518', '30.37145', '29.61391', '0.13603', '5.97626', '195.55111', '-0.00592', '0.09809', '0.96236']}\n
{snapshot: 14:55:58, data: ['62.52985', '28.28062', '29.61419', '0.10586', '5.94305', '195.56545', '-0.00272', '0.09979', '0.96406']}\n
{snapshot: 14:55:58, data: ['62.52985', '30.46721', '29.6151', '0.11806', '5.9267', '195.53817', '-0.00444', '0.09712', '0.96601']}\n
{snapshot: 14:55:59, data: ['62.52985', '30.30122', '29.6153', '0.13147', '5.95283', '195.48763', '-0.00395', '0.0976', '0.95822']}\n
{snapshot: 14:56:00, data: ['62.49326', '30.5119', '29.61489', '0.13171', '5.95108', '195.51887', '-0.00173', '0.10052', '0.95456']}\n
{snapshot: 14:56:00, data: ['62.49326', '30.42252', '29.61488', '0.15762', '5.92929', '195.53068', '-0.00197', '0.09736', '0.95943']}\n
{snapshot: 14:56:01, data: ['62.45667', '30.88218', '29.61505', '0.12265', '5.86031', '195.51611', '-0.00346', '0.0976', '0.96504']}\n
{snapshot: 14:56:02, data: ['62.52985', '31.1184', '29.61482', '0.13442', '5.82554', '195.46249', '-0.00469', '0.09954', '0.95602']}\n
{snapshot: 14:56:03, data: ['62.49326', '30.43529', '29.61581', '0.21628', '5.77957', '195.49207', '-0.00469', '0.10003', '0.95675']}\n
{snapshot: 14:56:03, data: ['62.63964', '30.39379', '29.61599', '0.15493', '5.77877', '195.43919', '-0.00197', '0.09639', '0.96894']}\n
{snapshot: 14:56:04, data: ['62.58475', '31.34823', '29.61537', '0.1403', '5.79022', '195.35807', '-0.00222', '0.09857', '0.9609']}\n
{snapshot: 14:56:05, data: ['62.52985', '30.8758', '29.61509', '0.12796', '5.82807', '195.3499', '-0.00321', '0.09712', '0.96406']}\n
{snapshot: 14:56:05, data: ['62.49326', '30.29484', '29.61528', '0.11095', '5.83812', '195.37267', '-0.00518', '0.09542', '0.95285']}\n
{snapshot: 14:56:06, data: ['62.67623', '30.17034', '29.61506', '0.12578', '5.84696', '195.34262', '-0.00173', '0.10076', '0.95675']}\n
{snapshot: 14:56:07, data: ['62.51156', '30.10969', '29.61502', '0.17511', '5.84644', '195.32563', '-0.0042', '0.09906', '0.95139']}\n
{snapshot: 14:56:07, data: ['62.52985', '30.08735', '29.61459', '0.17738', '5.81954', '195.28361', '-0.00617', '0.09615', '0.96577']}\n
{snapshot: 14:56:08, data: ['62.52985', '30.66512', '29.6146', '0.20821', '5.82463', '195.16252', '-0.00222', '0.09445', '0.96528']}\n
{snapshot: 14:56:09, data: ['62.51156', '31.53976', '29.61541', '0.17546', '5.79144', '195.1178', '-0.00543', '0.10052', '0.95748']}\n
{snapshot: 14:56:10, data: ['62.51156', '30.17354', '29.61486', '0.24673', '5.8244', '195.16192', '-0.00395', '0.09785', '0.95846']}\n
{snapshot: 14:56:11, data: ['62.63964', '30.27568', '29.61518', '0.26085', '5.89524', '195.19497', '-0.00494', '0.10052', '0.95432']}\n
{snapshot: 14:56:11, data: ['62.51156', '30.52786', '29.61516', '0.29591', '5.92371', '195.18267', '-0.00222', '0.0993', '0.957']}\n
{snapshot: 14:56:12, data: ['62.63964', '30.25334', '29.6154', '0.25939', '5.90623', '195.18924', '-0.00568', '0.10197', '0.95895']}\n
{snapshot: 14:56:13, data: ['62.58475', '30.35868', '29.61584', '0.21514', '5.95363', '195.16431', '-0.00346', '0.09687', '0.96528']}\n
{snapshot: 14:56:14, data: ['62.58475', '30.60128', '29.61637', '0.12038', '5.93824', '195.17151', '-0.00222', '0.0959', '0.96723']}\n
{snapshot: 14:56:14, data: ['62.52985', '30.19588', '29.6162', '0.18166', '5.88085', '195.20068', '-0.00346', '0.09882', '0.95773']}\n
{snapshot: 14:56:15, data: ['62.69453', '30.31399', '29.61524', '0.15822', '5.91307', '195.1958', '-0.00321', '0.10294', '0.96358']}\n
{snapshot: 14:56:16, data: ['62.67623', '30.46721', '29.61501', '0.12934', '5.89703', '195.19146', '-0.00568', '0.09809', '0.95773']}\n
{snapshot: 14:56:17, data: ['62.63964', '30.48317', '29.61538', '0.12258', '5.87734', '195.15874', '-0.00222', '0.09857', '0.96212']}\n
{snapshot: 14:56:17, data: ['62.51156', '30.21503', '29.61519', '0.13314', '5.88478', '195.20483', '-0.00173', '0.09687', '0.96528']}\n
{snapshot: 14:56:18, data: ['62.65794', '30.32676', '29.6156', '0.14943', '5.8841', '195.17721', '-0.00642', '0.09736', '0.94725']}\n
{snapshot: 14:56:19, data: ['62.60304', '30.57893', '29.61522', '0.20692', '5.88448', '195.16528', '-0.00617', '0.09785', '0.95456']}\n
{snapshot: 14:56:20, data: ['62.58475', '30.32037', '29.61534', '0.22744', '5.84411', '195.17624', '-0.00395', '0.10246', '0.95651']}\n
{snapshot: 14:56:20, data: ['62.56645', '30.37783', '29.61498', '0.21229', '5.79665', '195.1882', '-0.00494', '0.09517', '0.95017']}\n
{snapshot: 14:56:21, data: ['62.58475', '30.37145', '29.61511', '0.20777', '5.6547', '195.2329', '-0.00716', '0.09663', '0.94969']}\n
{snapshot: 14:56:22, data: ['62.69453', '30.31718', '29.6146', '0.21725', '5.69388', '195.31403', '-0.00346', '0.10173', '0.95042']}\n
{snapshot: 14:56:22, data: ['62.58475', '30.40975', '29.61455', '0.21248', '5.67391', '195.34707', '-0.00395', '0.09833', '0.96577']}\n
{snapshot: 14:56:23, data: ['62.60304', '30.28526', '29.61514', '0.23717', '5.72915', '195.31482', '-0.00617', '0.10222', '0.94652']}\n
{snapshot: 14:56:24, data: ['62.60304', '30.3076', '29.61534', '0.17906', '5.79561', '195.34713', '-0.00518', '0.10027', '0.95748']}\n
{snapshot: 14:56:25, data: ['62.71283', '30.09693', '29.61559', '0.16709', '5.79981', '195.38676', '-0.00247', '0.09906', '0.96601']}\n
{snapshot: 14:56:25, data: ['62.62134', '30.52467', '29.61529', '0.11831', '5.80775', '195.39326', '-0.00494', '0.09687', '0.95432']}\n
{snapshot: 14:56:26, data: ['62.74942', '28.51045', '29.6146', '0.12569', '5.7759', '195.35725', '-0.00494', '0.09857', '0.96065']}\n
{snapshot: 14:56:27, data: ['62.56645', '30.41614', '29.61379', '0.0784', '5.82906', '195.35534', '-0.00395', '0.101', '0.96455']}\n
{snapshot: 14:56:27, data: ['62.65794', '29.94051', '29.61364', '0.06442', '5.87043', '195.40372', '-0.00592', '0.0993', '0.95017']}\n
{snapshot: 14:56:28, data: ['62.58475', '30.32676', '29.6136', '0.07382', '5.87635', '195.43867', '-0.0037', '0.10222', '0.94676']}\n
{snapshot: 14:56:29, data: ['62.56645', '31.68979', '29.61384', '0.09569', '5.8775', '195.48431', '-0.00494', '0.09542', '0.96382']}\n
{snapshot: 14:56:30, data: ['62.69453', '30.44486', '29.61387', '0.13562', '5.92926', '195.55634', '-0.00469', '0.10076', '0.94944']}\n
{snapshot: 14:56:30, data: ['62.63964', '32.58996', '29.61434', '0.12203', '5.91493', '195.56202', '-0.00272', '0.09736', '0.96285']}\n
{snapshot: 14:56:31, data: ['62.56645', '30.50551', '29.61509', '0.15123', '5.92956', '195.56298', '-0.00469', '0.0976', '0.95091']}\n
{snapshot: 14:56:32, data: ['62.69453', '30.27568', '29.61452', '0.19623', '5.91048', '195.58957', '-0.00321', '0.0976', '0.9609']}\n
{snapshot: 14:56:32, data: ['62.62134', '30.46402', '29.61392', '0.20799', '5.9306', '195.573', '-0.00494', '0.10173', '0.94798']}\n
{snapshot: 14:56:33, data: ['62.63964', '30.47679', '29.61398', '0.23065', '5.92565', '195.55034', '-0.00469', '0.09833', '0.96358']}\n
{snapshot: 14:56:34, data: ['62.73112', '30.44806', '29.61344', '0.20596', '5.90598', '195.57639', '-0.0042', '0.10197', '0.96358']}\n
{snapshot: 14:56:35, data: ['62.71283', '30.07139', '29.61407', '0.25544', '5.94247', '195.60456', '-0.00494', '0.09687', '0.96406']}\n
{snapshot: 14:56:35, data: ['62.71283', '30.31399', '29.61441', '0.28201', '5.96123', '195.62838', '-0.00543', '0.0976', '0.94676']}\n
{snapshot: 14:56:36, data: ['62.67623', '30.11927', '29.61491', '0.25349', '5.97092', '195.66837', '-0.00197', '0.09517', '0.96333']}\n
{snapshot: 14:56:37, data: ['62.62134', '30.44806', '29.61545', '0.27048', '5.89086', '195.56514', '-0.00642', '0.10124', '0.95432']}\n
{snapshot: 14:56:38, data: ['62.74942', '30.48955', '29.61556', '0.30721', '5.88016', '195.58953', '-0.00395', '0.10076', '0.9648']}\n
