{snapshot: 19:42:34, data: ['52.72246', '42.7664', '29.62422', '357.77439', '12.84002', '132.82546', '0.04219', '0.21511', '0.87365']}\n
{snapshot: 19:42:35, data: ['52.72246', '42.94196', '29.62383', '357.73001', '12.75121', '132.79216', '0.04291', '0.2156', '0.93482']}\n
{snapshot: 19:42:36, data: ['52.75905', '42.5621', '29.6238', '357.7005', '12.7813', '132.81274', '0.04219', '0.21681', '0.93531']}\n
{snapshot: 19:42:36, data: ['52.83224', '43.15903', '29.62405', '357.69669', '12.75154', '132.85248', '0.04194', '0.21633', '0.93433']}\n
{snapshot: 19:42:37, data: ['52.79565', '42.62275', '29.62399', '357.66403', '12.71683', '132.80269', '0.04291', '0.2156', '0.93312']}\n
{snapshot: 19:42:38, data: ['52.64927', '42.2397', '29.62364', '357.64606', '12.72466', '132.80076', '0.04388', '0.21511', '0.93165']}\n
{snapshot: 19:42:39, data: ['52.79565', '43.38885', '29.62359', '357.62981', '12.61469', '132.78754', '0.04364', '0.21633', '0.93409']}\n
{snapshot: 19:42:39, data: ['52.74076', '42.64829', '29.62428', '357.60328', '12.60523', '132.82019', '0.04267', '0.21657', '0.93433']}\n
{snapshot: 19:42:40, data: ['52.68586', '42.43442', '29.62386', '357.57517', '12.59599', '132.87158', '0.04194', '0.21609', '0.93141']}\n
{snapshot: 19:42:41, data: ['52.74076', '42.48549', '29.62329', '357.55115', '12.58859', '132.91634', '0.04219', '0.21439', '0.9336']}\n
{snapshot: 19:42:41, data: ['52.70416', '42.81747', '29.62365', '357.54815', '12.58635', '132.96292', '0.04364', '0.21487', '0.93287']}\n
{snapshot: 19:42:42, data: ['52.79565', '42.57487', '29.62382', '357.54862', '12.54286', '133.01468', '0.04413', '0.2156', '0.93287']}\n
{snapshot: 19:42:43, data: ['52.61267', '43.13349', '29.62366', '357.52823', '12.56855', '132.98725', '0.0417', '0.21463', '0.9336']}\n
{snapshot: 19:42:43, data: ['52.79565', '42.45038', '29.62389', '357.57869', '12.53662', '132.90862', '0.0434', '0.21609', '0.93287']}\n
{snapshot: 19:42:44, data: ['52.70416', '42.2812', '29.62364', '357.55969', '12.49298', '132.86301', '0.0434', '0.2156', '0.93287']}\n
