\n
{snapshot: 16:34:17, data: ['56.80277', '28.61579', '29.56283', '357.64908', '12.76048', '134.38181', '0.04025', '0.2207', '0.93336']}\n
{snapshot: 16:34:17, data: ['56.87596', '27.89118', '29.56183', '357.66485', '12.68895', '134.37396', '0.03976', '0.2224', '0.93385']}\n
{snapshot: 16:34:18, data: ['56.72958', '24.75334', '29.56206', '357.64816', '12.64028', '134.37819', '0.03928', '0.22143', '0.93531']}\n
{snapshot: 16:34:19, data: ['56.76618', '27.67731', '29.56274', '357.68409', '12.6513', '134.39043', '0.03952', '0.2224', '0.93312']}\n
{snapshot: 16:34:19, data: ['56.72958', '27.97737', '29.56336', '357.70847', '12.62323', '134.393', '0.03831', '0.22143', '0.93433']}\n
{snapshot: 16:34:20, data: ['56.87596', '28.34446', '29.56298', '357.63575', '12.61448', '134.38945', '0.03903', '0.22191', '0.93555']}\n
{snapshot: 16:34:21, data: ['56.69299', '27.90075', '29.56272', '357.63331', '12.60537', '134.35559', '0.03976', '0.22216', '0.9319']}\n
{snapshot: 16:34:22, data: ['56.6381', '27.99014', '29.56313', '357.60853', '12.57282', '134.37308', '0.03903', '0.22191', '0.93409']}\n
{snapshot: 16:34:22, data: ['56.78448', '30.61086', '29.56343', '357.62892', '12.58018', '134.41137', '0.03855', '0.22288', '0.93141']}\n
{snapshot: 16:34:23, data: ['56.47342', '27.98375', '29.5637', '357.63555', '12.59457', '134.4301', '0.03952', '0.22216', '0.93238']}\n
{snapshot: 16:34:24, data: ['56.49172', '28.07632', '29.56353', '357.6262', '12.60823', '134.39263', '0.03879', '0.2224', '0.93068']}\n
{snapshot: 16:34:24, data: ['56.45512', '27.31979', '29.56316', '357.64596', '12.52985', '134.34732', '0.03952', '0.22143', '0.92995']}\n
{snapshot: 16:34:25, data: ['56.40023', '28.02205', '29.56314', '357.58086', '12.53153', '134.28619', '0.04073', '0.22143', '0.92995']}\n
{snapshot: 16:34:26, data: ['56.49172', '28.13697', '29.56296', '357.58802', '12.53684', '134.36392', '0.04025', '0.22118', '0.93385']}\n
{snapshot: 16:34:27, data: ['56.47342', '28.22316', '29.56377', '357.55501', '12.52138', '134.33926', '0.03952', '0.22143', '0.93482']}\n
{snapshot: 16:34:27, data: ['56.56491', '25.10766', '29.56348', '357.56126', '12.49055', '134.33708', '0.03806', '0.22288', '0.93238']}\n
{snapshot: 16:34:28, data: ['56.34534', '28.5296', '29.56349', '357.5938', '12.48285', '134.31417', '0.04', '0.22046', '0.92922']}\n
{snapshot: 16:34:29, data: ['56.30874', '28.3668', '29.56404', '357.6226', '12.50577', '134.35141', '0.03952', '0.22143', '0.93043']}\n
{snapshot: 16:34:29, data: ['56.40023', '28.19124', '29.56335', '357.6064', '12.52134', '134.38655', '0.03952', '0.22167', '0.9297']}\n
{snapshot: 16:34:30, data: ['56.25385', '28.11143', '29.56348', '357.5835', '12.59123', '134.34676', '0.03928', '0.2207', '0.92897']}\n
{snapshot: 16:34:31, data: ['56.21726', '28.43703', '29.56303', '357.574', '12.60207', '134.37266', '0.03928', '0.22094', '0.93214']}\n
{snapshot: 16:34:32, data: ['56.19896', '28.46576', '29.56337', '357.58887', '12.66592', '134.38546', '0.03928', '0.22118', '0.93336']}\n
{snapshot: 16:34:32, data: ['56.30874', '28.59344', '29.56444', '357.62387', '12.69577', '134.30373', '0.03952', '0.22167', '0.93238']}\n
{snapshot: 16:34:33, data: ['56.18066', '28.24231', '29.56362', '357.62531', '12.68411', '134.2714', '0.03952', '0.22191', '0.93043']}\n
{snapshot: 16:34:34, data: ['56.14407', '28.68601', '29.56294', '357.57707', '12.7187', '134.20427', '0.04', '0.22313', '0.93092']}\n
{snapshot: 16:34:35, data: ['56.05258', '28.41788', '29.56365', '357.63007', '12.7066', '134.16838', '0.04025', '0.22094', '0.92873']}\n
{snapshot: 16:34:35, data: ['56.07088', '28.45937', '29.56481', '357.67073', '12.74058', '134.12814', '0.03855', '0.22167', '0.92532']}\n
{snapshot: 16:34:36, data: ['56.19896', '28.59025', '29.56515', '357.64553', '12.76749', '134.10141', '0.03879', '0.22094', '0.92775']}\n
{snapshot: 16:34:37, data: ['56.03428', '28.58068', '29.5647', '357.64562', '12.73526', '134.10622', '0.04025', '0.2224', '0.92897']}\n
{snapshot: 16:34:37, data: ['56.01599', '28.52002', '29.56449', '357.65901', '12.71891', '134.05754', '0.03928', '0.22288', '0.92995']}\n
{snapshot: 16:34:38, data: ['55.97939', '28.47214', '29.56481', '357.68129', '12.7015', '134.05845', '0.03952', '0.22264', '0.92946']}\n
{snapshot: 16:34:39, data: ['56.03428', '27.07719', '29.5647', '357.67855', '12.66672', '134.07786', '0.04049', '0.22288', '0.92897']}\n
{snapshot: 16:34:40, data: ['56.01599', '28.14016', '29.56436', '357.70685', '12.77684', '134.04317', '0.03952', '0.22167', '0.93043']}\n
{snapshot: 16:34:40, data: ['56.10747', '28.36361', '29.56409', '357.74224', '12.78558', '134.09687', '0.04025', '0.22143', '0.9319']}\n
{snapshot: 16:34:41, data: ['56.12577', '28.6509', '29.56393', '357.76362', '12.75195', '134.1269', '0.04', '0.22094', '0.9297']}\n
{snapshot: 16:34:42, data: ['55.99769', '28.44661', '29.56365', '357.71569', '12.72995', '134.16725', '0.04073', '0.22216', '0.9336']}\n
{snapshot: 16:34:42, data: ['56.03428', '27.10911', '29.56387', '357.78043', '12.69165', '134.20202', '0.04025', '0.22191', '0.93263']}\n
{snapshot: 16:34:43, data: ['55.97939', '28.46257', '29.56438', '357.81993', '12.66642', '134.1962', '0.04', '0.22191', '0.93263']}\n
{snapshot: 16:34:44, data: ['55.97939', '28.67644', '29.56453', '357.76816', '12.7114', '134.12467', '0.03831', '0.22191', '0.93165']}\n
{snapshot: 16:34:44, data: ['55.99769', '28.72113', '29.56417', '357.79693', '12.63663', '134.14996', '0.03855', '0.22288', '0.93214']}\n
