{snapshot: 22:40:14, data: ['48.2396', '39.51364', '29.84786', '359.52363', '3.97364', '177.53092', '0.01358', '0.0908', '0.94993']}\n
{snapshot: 22:40:15, data: ['48.2579', '38.74754', '29.84908', '359.56339', '3.92668', '177.58481', '0.01309', '0.08983', '0.94944']}\n
{snapshot: 22:40:16, data: ['48.31279', '38.45386', '29.84991', '359.5769', '3.95952', '177.57056', '0.01455', '0.08838', '0.95042']}\n
{snapshot: 22:40:17, data: ['48.11152', '38.20168', '29.84934', '359.60824', '3.91884', '177.61295', '0.01455', '0.09105', '0.94798']}\n
{snapshot: 22:40:17, data: ['48.2762', '38.38363', '29.84898', '359.60618', '3.93166', '177.64829', '0.01358', '0.08959', '0.9492']}\n
{snapshot: 22:40:18, data: ['48.203', '38.38044', '29.84888', '359.67213', '3.94269', '177.66842', '0.01285', '0.08935', '0.94969']}\n
{snapshot: 22:40:19, data: ['48.34938', '41.69704', '29.84887', '359.68205', '3.92656', '177.76607', '0.01358', '0.08935', '0.95383']}\n
{snapshot: 22:40:20, data: ['48.16641', '38.69007', '29.84872', '359.62008', '3.91669', '177.70517', '0.0143', '0.0891', '0.95188']}\n
{snapshot: 22:40:20, data: ['48.2396', '38.4794', '29.84934', '359.57836', '3.96061', '177.74861', '0.01358', '0.08959', '0.94944']}\n
{snapshot: 22:40:21, data: ['48.31279', '38.53366', '29.84892', '359.6114', '3.92384', '177.80313', '0.0143', '0.09129', '0.95017']}\n
{snapshot: 22:40:22, data: ['48.31279', '38.66454', '29.84913', '359.62721', '3.90852', '177.81475', '0.01406', '0.09056', '0.94944']}\n
{snapshot: 22:40:22, data: ['48.34938', '38.51132', '29.84909', '359.59658', '3.9003', '177.87924', '0.01479', '0.09056', '0.95334']}\n
{snapshot: 22:40:23, data: ['48.18471', '38.50813', '29.84858', '359.5988', '3.89303', '177.85526', '0.01479', '0.08935', '0.94676']}\n
{snapshot: 22:40:24, data: ['48.33109', '38.45067', '29.84849', '359.61722', '3.90597', '177.91106', '0.01382', '0.08959', '0.94993']}\n
{snapshot: 22:40:25, data: ['48.51406', '37.40366', '29.84901', '359.58778', '3.89086', '177.93394', '0.01479', '0.08886', '0.95139']}\n
{snapshot: 22:40:25, data: ['48.29449', '38.15699', '29.84962', '359.53557', '3.89778', '177.95662', '0.0143', '0.08935', '0.95066']}\n
{snapshot: 22:40:26, data: ['48.36768', '38.7635', '29.85035', '359.5424', '3.8489', '177.93174', '0.01309', '0.08983', '0.94822']}\n
{snapshot: 22:40:27, data: ['48.29449', '38.44428', '29.84988', '359.54113', '3.80635', '177.95701', '0.01285', '0.09008', '0.94749']}\n
{snapshot: 22:40:28, data: ['48.38598', '38.73476', '29.84972', '359.5572', '3.71964', '177.89561', '0.01455', '0.0891', '0.94969']}\n
{snapshot: 22:40:29, data: ['48.2396', '38.52728', '29.84986', '359.59687', '3.78164', '177.90107', '0.01406', '0.08935', '0.94871']}\n
{snapshot: 22:40:29, data: ['48.38598', '38.97417', '29.84907', '359.56121', '3.84788', '177.89371', '0.01552', '0.08935', '0.95212']}\n
{snapshot: 22:40:30, data: ['48.44087', '38.44109', '29.84918', '359.60017', '3.83256', '177.88252', '0.01309', '0.09032', '0.95115']}\n
{snapshot: 22:40:31, data: ['48.34938', '38.61028', '29.84995', '359.64593', '3.80931', '177.89461', '0.01358', '0.08983', '0.94993']}\n
{snapshot: 22:40:32, data: ['48.31279', '38.74434', '29.84959', '359.62355', '3.81236', '177.89252', '0.01479', '0.08765', '0.94774']}\n
{snapshot: 22:40:32, data: ['48.38598', '38.45386', '29.84955', '359.6289', '3.77556', '177.88457', '0.01358', '0.08959', '0.95091']}\n
{snapshot: 22:40:33, data: ['48.31279', '38.51451', '29.848', '359.64153', '3.65494', '177.80475', '0.01406', '0.08838', '0.95139']}\n
{snapshot: 22:40:34, data: ['48.31279', '38.49536', '29.84822', '359.61177', '3.60395', '177.80603', '0.01358', '0.09008', '0.94822']}\n
