{snapshot: 20:36:06, data: ['66.55527', '25.71097', '29.83976', '359.35444', '359.71939', '162.31029', '0.01115', '-0.03884', '0.96065']}\n
{snapshot: 20:36:07, data: ['66.3906', '26.2249', '29.83957', '359.31257', '359.69417', '162.32526', '0.01285', '-0.03908', '0.95968']}\n
{snapshot: 20:36:08, data: ['66.3906', '25.93761', '29.8391', '359.29738', '359.66847', '162.31874', '0.01139', '-0.03763', '0.96114']}\n
{snapshot: 20:36:08, data: ['66.3906', '25.76843', '29.83969', '359.3179', '359.63084', '162.27957', '0.01139', '-0.03739', '0.95992']}\n
{snapshot: 20:36:09, data: ['66.3906', '25.95038', '29.83895', '359.31607', '359.58931', '162.30853', '0.01115', '-0.03884', '0.9609']}\n
{snapshot: 20:36:10, data: ['66.33571', '25.87696', '29.83934', '359.32754', '359.67188', '162.328', '0.01164', '-0.03835', '0.95992']}\n
{snapshot: 20:36:11, data: ['66.3906', '26.17063', '29.83971', '359.33176', '359.60084', '162.30756', '0.01164', '-0.0398', '0.95675']}\n
{snapshot: 20:36:12, data: ['66.3906', '26.24405', '29.83879', '359.35203', '359.62791', '162.34924', '0.01261', '-0.03908', '0.95724']}\n
{snapshot: 20:36:12, data: ['66.31741', '23.83401', '29.83874', '359.3276', '359.67577', '162.35246', '0.00994', '-0.04004', '0.96065']}\n
{snapshot: 20:36:13, data: ['66.28082', '25.91846', '29.83941', '359.37682', '359.71735', '162.34522', '0.01091', '-0.03884', '0.95895']}\n
{snapshot: 20:36:14, data: ['66.4272', '25.89931', '29.83965', '359.38469', '359.68662', '162.32983', '0.01139', '-0.03956', '0.96041']}\n
{snapshot: 20:36:15, data: ['66.354', '26.07487', '29.83862', '359.3685', '359.58464', '162.32543', '0.01067', '-0.03835', '0.95919']}\n
{snapshot: 20:36:15, data: ['66.33571', '26.20894', '29.83858', '359.31292', '359.59804', '162.28915', '0.00994', '-0.03884', '0.96309']}\n
{snapshot: 20:36:16, data: ['66.354', '26.06849', '29.83939', '359.32864', '359.58645', '162.30182', '0.01285', '-0.03932', '0.9609']}\n
{snapshot: 20:36:17, data: ['66.4089', '25.80035', '29.8396', '359.33322', '359.64992', '162.31406', '0.01212', '-0.0386', '0.96041']}\n
{snapshot: 20:36:18, data: ['66.26252', '28.48491', '29.83944', '359.3858', '359.68347', '162.33339', '0.01043', '-0.03908', '0.96041']}\n
{snapshot: 20:36:19, data: ['66.4089', '26.02061', '29.83895', '359.41752', '359.67172', '162.39858', '0.01091', '-0.04004', '0.95919']}\n
{snapshot: 20:36:19, data: ['66.50039', '25.96953', '29.83858', '359.44224', '359.65637', '162.36461', '0.01164', '-0.0398', '0.95895']}\n
{snapshot: 20:36:20, data: ['66.33571', '25.89611', '29.8387', '359.4269', '359.65459', '162.3737', '0.01067', '-0.03932', '0.9587']}\n
{snapshot: 20:36:21, data: ['66.3723', '26.3845', '29.83906', '359.43904', '359.6022', '162.38495', '0.01067', '-0.03811', '0.95846']}\n
{snapshot: 20:36:21, data: ['66.4272', '26.1451', '29.83882', '359.4207', '359.58637', '162.39361', '0.01139', '-0.03835', '0.95846']}\n
{snapshot: 20:36:22, data: ['66.29911', '24.53947', '29.83873', '359.36585', '359.62485', '162.43602', '0.01091', '-0.03739', '0.95895']}\n
{snapshot: 20:36:23, data: ['66.354', '25.16193', '29.83904', '359.38849', '359.59491', '162.4147', '0.01115', '-0.04028', '0.95773']}\n
{snapshot: 20:36:24, data: ['66.3723', '26.60795', '29.83958', '359.42412', '359.58386', '162.34121', '0.01091', '-0.03932', '0.9587']}\n
{snapshot: 20:36:25, data: ['66.31741', '26.11637', '29.83915', '359.36181', '359.56804', '162.37972', '0.01115', '-0.03956', '0.95895']}\n
{snapshot: 20:36:25, data: ['66.4272', '26.05253', '29.839', '359.30255', '359.58068', '162.35946', '0.01164', '-0.0386', '0.95675']}\n
{snapshot: 20:36:26, data: ['66.3906', '25.93122', '29.83893', '359.28692', '359.5822', '162.35192', '0.01212', '-0.03884', '0.96017']}\n
{snapshot: 20:36:27, data: ['66.44549', '27.20807', '29.83974', '359.31462', '359.56739', '162.34185', '0.01139', '-0.03835', '0.9587']}\n
{snapshot: 20:36:28, data: ['66.31741', '25.95676', '29.83974', '359.25858', '359.58123', '162.3491', '0.01091', '-0.0386', '0.95846']}\n
