\n
{snapshot: 00:03:47, data: ['56.29045', '39.11463', '29.8173', '3.36867', '4.45456', '182.67512', '-0.05653', '0.07527', '0.95237']}\n
{snapshot: 00:03:47, data: ['56.21726', '39.06675', '29.8172', '3.39531', '4.47969', '182.69899', '-0.05702', '0.07162', '0.9531']}\n
{snapshot: 00:03:48, data: ['56.38193', '38.96141', '29.81813', '3.44049', '4.52629', '182.66026', '-0.05529', '0.07259', '0.95651']}\n
{snapshot: 00:03:49, data: ['56.29045', '39.46257', '29.81733', '3.43528', '4.58373', '182.66789', '-0.05603', '0.07648', '0.95822']}\n
{snapshot: 00:03:50, data: ['56.25385', '43.12391', '29.81771', '3.36461', '4.52958', '182.67557', '-0.05776', '0.07381', '0.96212']}\n
{snapshot: 00:03:51, data: ['56.45512', '39.27104', '29.81719', '3.36465', '4.55082', '182.68908', '-0.05356', '0.07575', '0.95602']}\n
{snapshot: 00:03:52, data: ['56.29045', '39.19443', '29.81736', '3.40096', '4.51565', '182.66203', '-0.05628', '0.07138', '0.95383']}\n
{snapshot: 00:03:52, data: ['56.32704', '38.95502', '29.81694', '3.35809', '4.46735', '182.63891', '-0.05455', '0.0709', '0.95895']}\n
{snapshot: 00:03:53, data: ['56.40023', '38.98056', '29.8174', '3.36167', '4.49291', '182.73986', '-0.05603', '0.07551', '0.95505']}\n
{snapshot: 00:03:54, data: ['56.29045', '38.96779', '29.81727', '3.34887', '4.51603', '182.75981', '-0.05603', '0.07454', '0.9609']}\n
{snapshot: 00:03:55, data: ['56.34534', '38.9646', '29.8173', '3.30204', '4.57149', '182.73764', '-0.05578', '0.07138', '0.96504']}\n
{snapshot: 00:03:56, data: ['56.16236', '38.69646', '29.81789', '3.27053', '4.55194', '182.83313', '-0.0543', '0.07454', '0.9531']}\n
{snapshot: 00:03:56, data: ['56.40023', '39.17208', '29.81774', '3.31005', '4.52251', '182.83052', '-0.0548', '0.07332', '0.9609']}\n
{snapshot: 00:03:57, data: ['56.36364', '39.17528', '29.8178', '3.26405', '4.52534', '182.77557', '-0.0543', '0.07551', '0.95164']}\n
{snapshot: 00:03:58, data: ['56.51002', '37.44835', '29.81828', '3.26231', '4.56107', '182.71698', '-0.05776', '0.07429', '0.95748']}\n
{snapshot: 00:03:59, data: ['56.43683', '38.79542', '29.81762', '3.24749', '4.53307', '182.65794', '-0.05603', '0.07575', '0.95822']}\n
{snapshot: 00:04:00, data: ['56.52831', '41.86942', '29.8172', '3.23966', '4.53884', '182.65837', '-0.0548', '0.07648', '0.95846']}\n
